geo,country,age_1_child,live_births_18y,live_births_30y
AL,Albania,26.4,422,1759
AM,Armenia,24.8,410,1995
AT,Austria,29.5,303,6198
AZ,Azerbaijan,23.9,4366,5871
BE,Belgium,29.0,445,10198
BG,Bulgaria,26.2,1566,3998
BY,Belarus,25.8,705,6533
CH,Switzerland,30.9,121,6652
CY,Cyprus,29.8,44,743
CZ,Czech Republic,28.4,696,8879
DE,Germany,29.7,3994,60246
DK,Denmark,29.5,120,4958
EE,Estonia,27.7,75,1131
EL,Greece,30.4,565,5494
ES,Spain,31.0,2039,20565
FI,Finland,29.2,164,3468
FR,France,28.7,4186,56924
GE,Georgia,25.5,911,2721
HR,Croatia,28.8,245,2743
HU,Hungary,28.2,1512,6025
IE,Ireland,30.5,249,3271
IS,Iceland,28.3,16,311
IT,Italy,31.2,1516,28638
LT,Lithuania,27.8,237,2257
LU,Luxembourg,30.9,21,464
LV,Latvia,27.2,136,1411
MK,Macedonia,26.9,224,1458
MT,Malta,29.2,50,354
NL,Netherlands,30.0,358,14200
NO,Norway,29.5,106,4577
PL,Poland,27.4,2691,29092
PT,Portugal,29.8,539,5458
RO,Romania,26.7,4913,13976
RS,Serbia,28.1,671,4439
SE,Sweden,29.3,303,9046
SI,Slovenia,28.8,46,1705
SK,Slovakia,27.1,984,4100
TR,Turkey,26.3,18696,72891
UA,Ukraine,25.4,4608,20892
UK,United Kingdom,29.0,6146,49289
XK,Kosovo,27.1,213,1459
