geo,country,age_1_child,live_births_18y,live_births_30y,live_births_inmarriage,live_births_outmarriage,employed_women_2018
AL,Albania,26.4,422,1759,,,
AM,Armenia,24.8,410,1995,24692.0,11882.0,
AT,Austria,29.5,303,6198,50241.0,35294.0,0.6859999999999999
AZ,Azerbaijan,23.9,4366,5871,118266.0,20716.0,
BE,Belgium,29.0,445,10198,,61941.0,0.607
BG,Bulgaria,26.2,1566,3998,25830.0,36367.0,0.63
BY,Belarus,25.8,705,6533,81836.0,12206.0,
CH,Switzerland,30.9,121,6652,65275.0,22576.0,0.757
CY,Cyprus,29.8,44,743,,1752.0,0.642
CZ,Czech Republic,28.4,696,8879,58698.0,55338.0,0.6759999999999999
DE,Germany,29.7,3994,60246,520627.0,266896.0,0.711
DK,Denmark,29.5,120,4958,28140.0,33336.0,0.713
EE,Estonia,27.7,75,1131,6562.0,7771.0,0.725
EL,Greece,30.4,565,5494,76818.0,9622.0,0.446
ES,Spain,31.0,2039,20565,195518.0,175309.0,0.569
FI,Finland,29.2,164,3468,26354.0,21223.0,0.6970000000000001
FR,France,28.7,4186,56924,300861.0,458338.0,0.633
GE,Georgia,25.5,911,2721,33760.0,17375.0,
HR,Croatia,28.8,245,2743,29298.0,7647.0,0.5589999999999999
HU,Hungary,28.2,1512,6025,52430.0,41034.0,0.6659999999999999
IE,Ireland,30.5,249,3271,37920.0,23102.0,0.63
IS,Iceland,28.3,16,311,1249.0,2979.0,0.825
IT,Italy,31.2,1516,28638,290414.0,149333.0,0.495
LT,Lithuania,27.8,237,2257,20715.0,7420.0,0.716
LU,Luxembourg,30.9,21,464,3770.0,2476.0,0.634
LV,Latvia,27.2,136,1411,11693.0,7621.0,0.7
MK,Macedonia,26.9,224,1458,18746.0,2587.0,0.41700000000000004
MT,Malta,29.2,50,354,,,0.615
NL,Netherlands,30.0,358,14200,81107.0,87418.0,0.746
NO,Norway,29.5,106,4577,24017.0,31103.0,0.726
PL,Poland,27.4,2691,29092,285594.0,102584.0,0.603
PT,Portugal,29.8,539,5458,38395.0,48625.0,0.6629999999999999
RO,Romania,26.7,4913,13976,140054.0,62690.0,0.504
RS,Serbia,28.1,671,4439,46845.0,17130.0,0.503
SE,Sweden,29.3,303,9046,52656.0,63175.0,0.752
SI,Slovenia,28.8,46,1705,8293.0,11292.0,0.6709999999999999
SK,Slovakia,27.1,984,4100,34587.0,23052.0,0.655
TR,Turkey,26.3,18696,72891,1200544.0,35710.0,0.32899999999999996
UA,Ukraine,25.4,4608,20892,267065.0,68809.0,
UK,United Kingdom,29.0,6146,49289,,,
XK,Kosovo,27.1,213,1459,13669.0,8818.0,
