DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2009,1.39,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2010,1.44,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2011,1.43,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2012,1.44,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2013,1.44,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2014,1.46,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2015,1.49,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2016,1.53,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2017,1.52,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2018,1.47,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2019,1.46,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,AT,2020,1.44,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,BE,2009,1.84,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,BE,2010,1.86,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,BE,2011,1.81,b
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,BE,2012,1.80,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,BE,2013,1.76,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,BE,2014,1.74,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,BE,2015,1.70,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,BE,2016,1.68,
