geo,country,population,age_1_child,employed_women_2018,abortion_ratio,social_benefit,mean_income,fertility_rate,lb_18y_procapite,lb_30y_procapite,lb_inmar_procapite,lb_outmar_procapite,lb_foreign_procapite
AT,Austria,8822267,29.5,0.6859999999999999,20.9,993.78,27804.0,1.47,3.434491384130632e-05,0.000702540514813256,0.005694794773270861,0.004000559039983714,0.00290140844751128
BE,Belgium,11398589,29.0,0.607,154.4,717.46,25196.0,1.62,3.903991976550782e-05,0.0008946721388059522,0.004946050778741123,0.005434093640888359,0.002560580085833431
BG,Bulgaria,7050034,26.2,0.63,376.8,113.35,4644.0,1.56,0.00022212658832567332,0.0005670894636820191,0.003663812117785531,0.005158414838850422,5.64536284505862e-05
CH,Switzerland,8484130,30.9,0.757,116.8,901.61,49607.0,1.52,1.4261921964892099e-05,0.000784052106698035,0.007693776498002742,0.002660968184127306,0.0041275888040376565
CY,Cyprus,864236,29.8,0.642,0.4,288.41,17582.0,1.32,5.091201940210776e-05,0.0008597188730855924,0.008767281159312966,0.002027224045283927,0.0033555649151389205
CZ,Czech Republic,10610055,28.4,0.6759999999999999,160.5,295.16,10098.0,1.71,6.559815194171944e-05,0.0008368476883484581,0.005532299314188287,0.005215618580676537,0.0006854818377473067
DE,Germany,82792351,29.7,0.711,128.2,1199.25,25882.0,1.57,4.824117145797684e-05,0.0007276759177910047,0.006288346613082651,0.0032236794435273374,0.0022368249936518896
DK,Denmark,5781190,29.5,0.713,231.0,1647.17,33759.0,1.73,2.0756972180468035e-05,0.000857608900589671,0.004867509976319754,0.00576628687173402,0.001705185264625449
EE,Estonia,1319133,27.7,0.725,264.5,357.58,11746.0,1.67,5.6855525561107184e-05,0.0008573813254614963,0.0049744794497598045,0.005890990521804852,0.0010226413864257813
EL,Greece,10741165,30.4,0.446,234.7,287.17,9034.0,1.35,5.260137052172646e-05,0.000511490140967018,0.00715173819599643,0.0008958059949735434,0.0011463374782902972
ES,Spain,46658447,31.0,0.569,258.7,301.1,16937.0,1.26,4.3700554371216e-05,0.00044075620433744827,0.004190409509343507,0.003757283220335216,0.0016228358393497323
FI,Finland,5513130,29.2,0.6970000000000001,180.7,1096.41,27389.0,1.41,2.9747167217170647e-05,0.0006290437555435841,0.004780224663666556,0.0038495373771342233,0.0008454362585319047
FR,France,67026224,28.7,0.633,300.0,782.22,25379.0,1.87,6.245316758407873e-05,0.0008492795297553984,0.00448870579372038,0.006838189183982675,0.0020432450439099776
HR,Croatia,4105493,28.8,0.5589999999999999,69.2,232.63,7371.0,1.47,5.9676146080385475e-05,0.0006681292599938668,0.0071362927667883,0.0018626264860273785,9.913547532537505e-05
HU,Hungary,9778371,28.2,0.6659999999999999,288.2,254.93,6123.0,1.55,0.00015462698234705965,0.0006161557993657634,0.005361833786016096,0.004196404493141036,0.00013652580782627291
IE,Ireland,4830392,30.5,0.63,47.7,879.18,28630.0,1.75,5.154861137563991e-05,0.0006771707140952536,0.007850294551663715,0.004782634618474029,0.002874093862361481
IS,Iceland,348450,28.3,0.825,248.1,922.55,43769.0,1.71,4.591763524178505e-05,0.0008925240350121969,0.003584445401061845,0.008549289711579854,0.0018768833405079638
IT,Italy,60483973,31.2,0.495,172.9,304.47,19208.0,1.29,2.5064491051207898e-05,0.00047348080126945365,0.004801503366850587,0.002468968101682077,0.0014651649950309976
LT,Lithuania,2808901,27.8,0.716,127.5,219.13,8415.0,1.63,8.437463620113347e-05,0.0008035171050884313,0.007374770417326919,0.0026416025342295797,0.00026878839802470787
LU,Luxembourg,602005,30.9,0.634,95.3,2823.35,40075.0,1.38,3.4883431200737535e-05,0.0007707577179591531,0.006262406458418119,0.0041129226501441015,0.006386990141277896
LV,Latvia,1934379,27.2,0.7,188.3,203.43,8738.0,1.6,7.030680130419116e-05,0.0007294330635309834,0.006044834026837554,0.003939765681906183,0.0005650392193050069
MK,Macedonia,2075301,26.9,0.417,184.3,30.91,2842.0,1.42,0.00010793614998499013,0.0007025486905273018,0.009032906551868862,0.0012465661607641493,0.0003739216624480015
MT,Malta,475701,29.2,0.615,11.9,197.25,16749.0,1.23,0.00010510804055488636,0.0007441649271285955,0.006489370423858685,0.0021484083489418772,0.0022030645300304182
NL,Netherlands,17181084,30.0,0.746,184.0,466.96,26848.0,1.59,2.0836869198707135e-05,0.0008264903425185512,0.004720714944412122,0.005088037518470895,0.0012151736176832615
NO,Norway,5295619,29.5,0.726,224.8,2113.16,42203.0,1.56,2.0016545752252946e-05,0.0008642993387552994,0.004535258295583576,0.005873345495587956,0.002303413444207372
PL,Poland,37976687,27.4,0.603,2.8,311.85,7337.0,1.46,7.085926163069464e-05,0.0007660489183798471,0.00752024524940788,0.0027012361557499738,0.00013539885667225265
PT,Portugal,10291027,29.8,0.6629999999999999,171.5,217.12,11063.0,1.42,5.2375724988380655e-05,0.0005303649480270531,0.0037309201501463363,0.004724990032578867,0.000912348203925614
RO,Romania,19533481,26.7,0.504,258.0,138.12,3825.0,1.76,0.0002515168699321949,0.000715489471641025,0.007169945797167438,0.003209361403633075,0.00012660313847798045
