DATAFLOW,LAST UPDATE,freq,unit,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AD,2011,531,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AD,2012,483,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AD,2018,351,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AM,2019,420,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AM,2020,498,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2011,18889,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2012,19459,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2013,20133,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2014,21607,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2015,23273,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2016,25851,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2017,26210,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2018,25597,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2019,26051,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AT,2020,25102,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AZ,2013,1037,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,AZ,2014,1832,
