DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AL,2017,1760,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AL,2018,1997,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AL,2019,2231,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AL,2020,2523,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2012,21807,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2013,22073,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2014,23211,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2015,23260,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2016,23694,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2017,24752,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2018,25176,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2019,25729,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2020,26555,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,AT,2021,27428,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,BE,2012,20280,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,BE,2013,21483,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,BE,2014,21705,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,BE,2015,21654,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,BE,2016,22295,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,BE,2017,22733,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,BE,2018,23686,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,BE,2019,24608,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,BE,2020,25672,
